region_key,median_income
pulaski_kentucky,50943
robertson_kentucky,52337
rockcastle_kentucky,48367
rowan_kentucky,53657
russell_kentucky,50520
scott_kentucky,83660
shelby_kentucky,82671
simpson_kentucky,57392
spencer_kentucky,98333
taylor_kentucky,61871
todd_kentucky,57759
trigg_kentucky,54630
trimble_kentucky,67813
union_kentucky,60989
warren_kentucky,64801
washington_kentucky,59762
wayne_kentucky,41933
webster_kentucky,58786
whitley_kentucky,41719
wolfe_kentucky,29052
woodford_kentucky,80006
acadia_louisiana,45266
allen_louisiana,51138
ascension_louisiana,92266
assumption_louisiana,52546
avoyelles_louisiana,39439
beauregard_louisiana,64995
bienville_louisiana,34992
bossier_louisiana,66336
caddo_louisiana,50067
calcasieu_louisiana,67849
caldwell_louisiana,44957
cameron_louisiana,72500
catahoula_louisiana,47753
claiborne_louisiana,31784
concordia_louisiana,37349
de soto_louisiana,46077
east baton rouge_louisiana,63075
east carroll_louisiana,28321
east feliciana_louisiana,72899
evangeline_louisiana,42273
franklin_louisiana,44103
grant_louisiana,61112
iberia_louisiana,57811
iberville_louisiana,57459
jackson_louisiana,43345
jefferson_louisiana,65246
jefferson davis_louisiana,56500
lafayette_louisiana,67660
lafourche_louisiana,63439
lasalle_louisiana,67077
lincoln_louisiana,38035
livingston_louisiana,78617
madison_louisiana,37267
morehouse_louisiana,36981
natchitoches_louisiana,46798
orleans_louisiana,55339
ouachita_louisiana,51241
plaquemines_louisiana,82874
pointe coupee_louisiana,59351
rapides_louisiana,55946
red river_louisiana,44539
richland_louisiana,52960
sabine_louisiana,52047
st. bernard_louisiana,57638
st. charles_louisiana,82172
st. helena_louisiana,50193
st. james_louisiana,64536
st. john the baptist_louisiana,67418
st. landry_louisiana,45637
st. martin_louisiana,53394
st. mary_louisiana,51768
st. tammany_louisiana,79277
tangipahoa_louisiana,57256
tensas_louisiana,36074
terrebonne_louisiana,64819
union_louisiana,45743
vermilion_louisiana,57537
vernon_louisiana,58281
washington_louisiana,42776
webster_louisiana,37396
west baton rouge_louisiana,87320
west carroll_louisiana,48514
west feliciana_louisiana,74277
winn_louisiana,46368
androscoggin_maine,67298
aroostook_maine,54254
cumberland_maine,92983
franklin_maine,58522
hancock_maine,69630
kennebec_maine,65062
knox_maine,71903
lincoln_maine,72026
oxford_maine,57933
penobscot_maine,63248
piscataquis_maine,55234
sagadahoc_maine,82080
somerset_maine,56199
waldo_maine,68441
washington_maine,52237
york_maine,82904
allegany_maryland,57393
anne arundel_maryland,120324
baltimore_maryland,90904
calvert_maryland,132059
caroline_maryland,66368
carroll_maryland,115876
cecil_maryland,91146
charles_maryland,120592
dorchester_maryland,60495
frederick_maryland,120458
garrett_maryland,69031
harford_maryland,111317
howard_maryland,146982
kent_maryland,74402
montgomery_maryland,128733
prince george's_maryland,100708
queen anne's_maryland,113347
st. mary's_maryland,114580
somerset_maryland,52462
talbot_maryland,84378
washington_maryland,74157
wicomico_maryland,72861
worcester_maryland,81455
baltimore city_maryland,59623
barnstable_massachusetts,94452
berkshire_massachusetts,72565
bristol_massachusetts,84198
dukes_massachusetts,102348
essex_massachusetts,99431
franklin_massachusetts,72584
hampden_massachusetts,70535
hampshire_massachusetts,86391
middlesex_massachusetts,126779
nantucket_massachusetts,119750
norfolk_massachusetts,126497
plymouth_massachusetts,109698
suffolk_massachusetts,92859
worcester_massachusetts,93561
alcona_michigan,53568
alger_michigan,59406
allegan_michigan,80255
alpena_michigan,51909
antrim_michigan,71421
arenac_michigan,56989
baraga_michigan,55117
